Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3704107,"Nihal della terra del vento (Le Cronache del Mondo Emerso, #1)",Licia Troisi,"Troisi, Licia",,"=""8804528850""","=""9788804528852""",3,3.99,Mondadori,Hardcover,386,2004,2004,,2019/09/01,,,read,,,,1,0
210923,Sally Lockhart Quartet,Philip Pullman,"Pullman, Philip",,"=""0439959233""","=""9780439959230""",5,4.15,Gardners Books,Paperback,,,,,2019/09/01,,,read,,,,1,0
82434,Saving Francesca,Melina Marchetta,"Marchetta, Melina",,"=""0375829830""","=""9780375829833""",5,3.98,Knopf Books for Young Readers,Paperback,243,2006,2003,,2019/09/01,,,read,,,,1,0
10429045,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085484""","=""9780062085481""",1,3.88,Harper,Hardcover,338,2011,2011,,2019/08/23,,,read,,,,1,0
9275658,"Legend (Legend, #1)",Marie Lu,"Lu, Marie",,"=""""","=""""",5,4.16,Putnam Juvenile,Hardcover,305,2011,2011,,2019/08/23,,,read,,,,1,0
6752378,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,"Clare, Cassandra",,"=""1442403543""","=""9781442403543""",3,4.08,Margaret K. McElderry Books,Hardcover,425,2011,2011,,2019/08/24,,,read,,,,1,0
3777732,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,"Clare, Cassandra",,"=""1416914307""","=""9781416914303""",3,4.28,Margaret K. McElderry Books,Hardcover,541,2009,2009,,2019/08/24,,,read,,,,1,0
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,"Clare, Cassandra",,"=""1416914293""","=""9781416914297""",3,4.12,Margaret K. McElderry Books,Hardcover,453,2008,2008,,2019/08/24,,,read,,,,1,0
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1416914285""","=""9781416914280""",4,4.08,Margaret K. McElderry Books,Hardcover,485,2007,2007,,2019/08/24,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,,2019/08/23,,,read,,,,1,0
18619684,The Time Traveler's Wife,Audrey Niffenegger,"Niffenegger, Audrey",,"=""""","=""9781939126016""",4,3.99,Zola Books,ebook,537,2013,2003,,2019/08/23,,,read,,,,1,0
929,Memoirs of a Geisha,Arthur Golden,"Golden, Arthur",,"=""1400096898""","=""9781400096893""",5,4.14,Vintage Books USA,Mass Market Paperback,503,2005,1997,,2019/08/23,,,read,,,,1,0
2998,The Secret Garden,Frances Hodgson Burnett,"Burnett, Frances Hodgson",,"=""0517189607""","=""9780517189603""",0,4.15,Children's Classics,Hardcover,331,1998,1911,,2019/08/23,,,read,,,,2,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.58,Scholastic Inc.,Paperback,652,2006,2005,,2019/08/23,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.","Mary GrandPré, Jim Kay","=""""","=""""",0,4.56,Scholastic,Paperback,734,2002,2000,,2019/08/23,,,read,,,,1,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",2,4.12,Random House: Modern Library,Paperback,272,2004,1890,,2019/08/23,,,read,,,,1,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel","=""""","=""""",3,3.88,Norton,Paperback,464,2002,1847,,2019/08/23,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",4,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2019/08/23,,,read,,,,1,0
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",4,4.14,Signet Classics,Mass Market Paperback,449,2004,1868,,2019/08/23,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2019/08/23,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""""","=""""",0,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2019/08/23,,,read,,,,1,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",4,4.39,Alfred A. Knopf,Hardcover,552,2006,2005,,2019/08/23,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",2,3.93,Scribner,Paperback,180,1925,1925,,2019/08/23,,,read,,,,1,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""""","=""""",4,4.32,"Harcourt, Inc.",Paperback,96,2000,1943,,2019/08/23,,,read,,,,1,0
